Pos	PosRank	Player	Team	AB	R	HR	RBI	SB	AVG	OBP	SLG	Value	SBAB
C	18	John Jaso	OAK	367	52	7	44	4	0.248	0.358	0.368	-$7.00	0.0108991826
C	6	Jonathan Lucroy	MIL	469	54	16	70	7	0.279	0.337	0.446	$11.00	0.0149253731
C	39	Jose Lobaton	WAS	215	25	5	23	1	0.233	0.315	0.367	-$25.00	0.0046511628
C	42	Jose Molina	TB	265	26	4	27	2	0.226	0.288	0.317	-$26.00	0.0075471698
C	43	Josh Phegley	CWS	250	17	5	26	2	0.244	0.262	0.34	-$26.00	0.008
C	51	Josh Thole	TOR	195	15	1	20	0	0.256	0.329	0.323	-$30.00	0
C	29	Josmil Pinto	MIN	200	26	11	29	0	0.25	0.315	0.48	-$19.00	0
C	68	Kelly Shoppach	FA	100	10	3	11	0	0.22	0.31	0.37	-$33.00	0
C	33	Kurt Suzuki	MIN	285	29	5	31	2	0.253	0.313	0.358	-$21.00	0.0070175439
C	62	Martin Maldonado	MIL	115	10	3	13	0	0.235	0.296	0.348	-$33.00	0
C	10	Matt Wieters	BAL	475	57	20	67	2	0.253	0.32	0.434	$7.00	0.0042105263
C	49	Michael McKenry	COL	175	16	6	21	0	0.229	0.286	0.389	-$28.00	0
C	14	Miguel Montero	ARI	439	53	13	60	0	0.253	0.339	0.396	$0.00	0
C	23	Mike Zunino	SEA	355	45	12	37	1	0.242	0.322	0.375	-$13.00	0.0028169014
C	34	Nick Hundley	SD	250	26	8	30	1	0.248	0.306	0.4	-$21.00	0.004
C	53	Ramon Hernandez	KAN	120	11	4	15	1	0.25	0.313	0.4	-$30.00	0.0083333333
C	69	Rob Brantly	MIA	125	10	1	12	0	0.24	0.301	0.312	-$34.00	0
C	15	Russell Martin	PIT	424	52	14	52	8	0.231	0.319	0.375	-$2.00	0.0188679245
C	30	Ryan Doumit	ATL	240	25	7	33	0	0.263	0.33	0.417	-$20.00	0
C	37	Ryan Hanigan	TB	290	27	3	29	0	0.252	0.352	0.321	-$24.00	0
C	66	Ryan Lavarnway	BOS	100	9	2	12	0	0.24	0.276	0.37	-$33.00	0
C	9	Salvador Perez	KAN	487	54	14	67	1	0.29	0.326	0.441	$9.00	0.0020533881
