Pos	PosRank	Player	Team	AB	R	HR	RBI	SB	AVG	OBP	SLG	Value	SBAB
OF	50	Melky Cabrera	TOR	477	68	10	56	8	0.289	0.335	0.43	$4.00	0.0167714885
OF	45	Michael Bourn	CLE	549	79	6	47	31	0.264	0.324	0.362	$7.00	0.0564663024
OF	59	Michael Brantley	CLE	503	63	8	60	13	0.274	0.332	0.386	$1.00	0.0258449304
OF	193	Michael Choice	TEX	46	4	1	4	0	0.196	0.245	0.304	-$46.00	0
OF	76	Michael Morse	SF	446	55	17	58	1	0.247	0.297	0.408	-$5.00	0.0022421525
OF	77	Michael Saunders	SEA	425	60	13	50	13	0.233	0.315	0.391	-$6.00	0.0305882353
OF	1	Mike Trout	LAA	566	112	27	89	35	0.306	0.405	0.535	$53.00	0.0618374558
OF	159	Moises Sierra	TOR	178	20	5	22	3	0.236	0.295	0.388	-$33.00	0.0168539326
OF	102	Nate McLouth	WAS	348	46	9	31	15	0.25	0.324	0.391	-$14.00	0.0431034483
OF	72	Nate Schierholtz	CHC	427	52	15	59	6	0.26	0.313	0.44	-$3.00	0.0140515222
OF	40	Nelson Cruz	BAL	483	62	25	76	7	0.261	0.32	0.476	$11.00	0.0144927536
OF	82	Nick Castellanos	DET	465	52	11	51	4	0.265	0.313	0.398	-$8.00	0.0086021505
OF	52	Nick Markakis	BAL	543	70	12	57	3	0.28	0.345	0.401	$3.00	0.0055248619
OF	135	Nolan Reimold	BAL	205	26	9	25	3	0.239	0.304	0.42	-$27.00	0.0146341463
OF	49	Norichika Aoki	KAN	534	74	7	45	19	0.285	0.347	0.38	$5.00	0.0355805243
OF	126	Oscar Taveras	STL	229	28	7	29	4	0.275	0.322	0.437	-$23.00	0.0174672489
OF	71	Oswaldo Arcia	MIN	456	53	18	63	3	0.252	0.31	0.436	-$2.00	0.0065789474
OF	79	Peter Bourjos	STL	421	59	9	46	12	0.252	0.306	0.387	-$7.00	0.0285035629
OF	88	Rajai Davis	DET	325	44	5	32	33	0.262	0.308	0.372	-$9.00	0.1015384615
OF	83	Raul Ibanez	LAA	403	50	18	58	1	0.236	0.298	0.424	-$8.00	0.0024813896
OF	181	Reed Johnson	MIA	100	11	1	9	1	0.26	0.308	0.37	-$41.00	0.01
OF	167	Rick Ankiel	FA	145	17	5	18	2	0.221	0.276	0.393	-$36.00	0.0137931034
OF	98	Robbie Grossman	HOU	430	54	7	38	13	0.242	0.324	0.347	-$13.00	0.0302325581
OF	179	Roger Bernadina	CIN	100	12	3	10	3	0.23	0.3	0.38	-$39.00	0.03
OF	2	Ryan Braun	MIL	518	85	29	91	18	0.297	0.369	0.539	$36.00	0.0347490347
OF	96	Ryan Ludwick	CIN	367	42	15	53	1	0.243	0.308	0.414	-$12.00	0.0027247956
OF	114	Ryan Raburn	CLE	292	37	12	42	1	0.236	0.301	0.421	-$19.00	0.0034246575
OF	120	Ryan Sweeney	CHC	304	36	6	34	2	0.266	0.326	0.405	-$21.00	0.0065789474
OF	184	Sam Fuld	OAK	72	9	1	7	3	0.236	0.304	0.333	-$42.00	0.0416666667
OF	138	Scott Hairston	WAS	165	22	8	25	3	0.255	0.301	0.467	-$28.00	0.0181818182
OF	117	Seth Smith	SD	304	40	9	36	2	0.247	0.322	0.405	-$20.00	0.0065789474
OF	172	Shane Robinson	STL	117	15	2	12	3	0.256	0.331	0.359	-$37.00	0.0256410256
OF	25	Shane Victorino	BOS	522	77	14	61	23	0.282	0.339	0.443	$15.00	0.0440613027
OF	18	Shin-Soo Choo	TEX	544	89	17	63	19	0.27	0.382	0.43	$18.00	0.0349264706
OF	29	Starling Marte	PIT	532	78	13	51	33	0.271	0.318	0.432	$14.00	0.0620300752
OF	143	Steve Pearce	BAL	199	24	7	25	2	0.246	0.33	0.402	-$29.00	0.0100502513
OF	188	Tony Campana	ARI	36	5	0	3	3	0.25	0.308	0.278	-$44.00	0.0833333333
OF	189	Tony Gwynn	FA	35	4	0	3	2	0.257	0.316	0.343	-$45.00	0.0571428571
OF	37	Torii Hunter	DET	529	74	15	71	4	0.284	0.329	0.433	$11.00	0.0075614367
OF	130	Travis Snider	PIT	263	32	6	30	5	0.24	0.301	0.369	-$25.00	0.0190114068
OF	173	Tyler Colvin	COL	220	20	6	21	2	0.186	0.228	0.332	-$37.00	0.0090909091
OF	175	Vernon Wells	FA	90	11	4	12	1	0.244	0.292	0.422	-$39.00	0.0111111111
OF	24	Wil Myers	TB	550	77	22	83	8	0.26	0.329	0.442	$16.00	0.0145454545
OF	62	Will Venable	SD	419	60	15	52	20	0.251	0.308	0.432	$1.00	0.0477326969
OF	148	Xavier Paul	BAL	175	21	5	22	3	0.257	0.33	0.406	-$31.00	0.0171428571
OF	5	Yasiel Puig	LAD	563	94	27	75	19	0.284	0.353	0.496	$32.00	0.0337477798
OF	26	Yoenis Cespedes	OAK	510	73	23	81	9	0.259	0.318	0.455	$15.00	0.0176470588
SS	38	Adeiny Hechavarria	MIA	403	32	3	36	8	0.243	0.284	0.328	-$23.00	0.0198511166
SS	24	Alcides Escobar	KAN	529	58	5	50	20	0.261	0.294	0.35	-$2.00	0.0378071834
SS	68	Alen Hanson	PIT	8	1	0	1	0	0.125	0.125	0.125	-$45.00	0
SS	60	Alex Gonzalez	BAL	100	12	2	11	0	0.23	0.274	0.33	-$38.00	0
SS	13	Alexei Ramirez	CWS	566	64	9	58	19	0.269	0.305	0.375	$6.00	0.0335689046
SS	15	Andrelton Simmons	ATL	561	66	13	62	8	0.264	0.313	0.399	$5.00	0.0142602496
SS	10	Asdrubal Cabrera	CLE	516	68	15	68	10	0.262	0.32	0.419	$9.00	0.019379845
SS	18	Brad Miller	SEA	475	66	11	53	10	0.261	0.321	0.398	$2.00	0.0210526316
SS	30	Brandon Crawford	SF	485	53	7	50	3	0.239	0.302	0.344	-$12.00	0.006185567
SS	46	Brendan Ryan	NYY	254	28	3	22	5	0.22	0.283	0.307	-$30.00	0.0196850394
SS	65	Carlos Triunfel	SEA	28	3	0	2	0	0.214	0.241	0.25	-$44.00	0
SS	53	Chris Owings	ARI	161	17	2	16	4	0.255	0.294	0.366	-$33.00	0.0248447205
SS	57	Clint Barmes	PIT	149	13	3	14	0	0.228	0.277	0.336	-$37.00	0
SS	42	Daniel Descalso	STL	260	30	3	28	4	0.242	0.304	0.35	-$26.00	0.0153846154
SS	37	Dee Gordon	LAD	255	31	1	20	22	0.243	0.301	0.302	-$22.00	0.0862745098
SS	29	Derek Jeter	NYY	374	53	6	36	6	0.275	0.334	0.369	-$9.00	0.0160427807
SS	28	Didi Gregorius	ARI	491	57	9	50	3	0.255	0.316	0.375	-$7.00	0.0061099796
SS	51	Eduardo Escobar	MIN	185	22	2	17	3	0.243	0.289	0.341	-$32.00	0.0162162162
SS	5	Elvis Andrus	TEX	584	82	5	58	32	0.277	0.342	0.36	$17.00	0.0547945205
SS	41	Eric Sogard	OAK	242	29	3	24	7	0.26	0.319	0.368	-$25.00	0.0289256198
SS	16	Erick Aybar	LAA	538	69	7	53	16	0.271	0.307	0.385	$5.00	0.029739777
SS	9	Everth Cabrera	SD	549	74	5	44	47	0.251	0.323	0.342	$10.00	0.0856102004
SS	66	Francisco Lindor	CLE	19	2	0	1	1	0.211	0.25	0.263	-$45.00	0.0526315789
SS	67	Hak-Ju Lee	TB	31	3	0	2	1	0.161	0.212	0.194	-$45.00	0.0322580645
SS	2	Hanley Ramirez	LAD	505	79	23	81	18	0.275	0.341	0.477	$27.00	0.0356435644
SS	4	Ian Desmond	WAS	543	68	18	71	19	0.274	0.322	0.444	$17.00	0.0349907919
SS	8	J.J. Hardy	BAL	558	69	22	70	1	0.26	0.306	0.428	$10.00	0.0017921147
SS	23	Javier Baez	CHC	360	50	20	53	11	0.242	0.293	0.472	-$1.00	0.0305555556
SS	59	Jayson Nix	TB	100	11	2	10	3	0.22	0.284	0.32	-$38.00	0.03
SS	3	Jean Segura	MIL	553	69	12	55	36	0.286	0.326	0.421	$18.00	0.0650994575
SS	17	Jed Lowrie	OAK	507	67	14	66	2	0.262	0.326	0.416	$5.00	0.0039447732
SS	21	Jhonny Peralta	STL	503	55	13	65	3	0.268	0.327	0.414	$1.00	0.0059642147
SS	14	Jimmy Rollins	PHI	552	73	12	53	20	0.248	0.316	0.377	$5.00	0.0362318841
SS	50	Joaquin Arias	SF	183	18	2	19	2	0.262	0.289	0.361	-$32.00	0.0109289617
SS	61	John McDonald	LAA	100	11	2	10	0	0.23	0.28	0.32	-$39.00	0
SS	55	Jonathan Herrera	BOS	148	17	1	13	2	0.27	0.325	0.345	-$34.00	0.0135135135
SS	19	Jonathan Villar	HOU	517	62	9	46	37	0.236	0.302	0.348	$2.00	0.0715667311
SS	31	Jordy Mercer	PIT	407	45	8	43	5	0.251	0.302	0.378	-$13.00	0.0122850123
SS	26	Jose Iglesias	DET	510	54	5	47	10	0.267	0.311	0.347	-$6.00	0.0196078431
SS	6	Jose Reyes	TOR	508	76	11	50	24	0.297	0.353	0.445	$17.00	0.0472440945
SS	34	Josh Rutledge	COL	277	36	7	28	8	0.282	0.328	0.426	-$16.00	0.0288808664
SS	64	Miguel Sano	MIN	47	5	2	5	1	0.17	0.22	0.34	-$43.00	0.0212765957
SS	33	Pedro Florimon	MIN	418	44	7	41	13	0.227	0.284	0.325	-$16.00	0.0311004785
SS	63	Pete Kozma	STL	72	8	0	7	1	0.208	0.269	0.25	-$42.00	0.0138888889
SS	32	Rafael Furcal	MIA	359	49	5	30	9	0.262	0.322	0.359	-$14.00	0.0250696379
SS	35	Ruben Tejada	NYM	421	45	2	34	4	0.249	0.305	0.321	-$20.00	0.0095011876
SS	12	Starlin Castro	CHC	564	64	11	53	14	0.278	0.319	0.408	$6.00	0.024822695
SS	25	Stephen Drew	FA	459	57	12	59	5	0.248	0.327	0.412	-$3.00	0.0108932462
SS	1	Troy Tulowitzki	COL	481	74	26	84	4	0.306	0.38	0.538	$28.00	0.0083160083
SS	62	Wilfredo Tovar	NYM	97	9	1	7	3	0.227	0.286	0.289	-$40.00	0.0309278351
SS	27	Yunel Escobar	TB	490	59	8	50	4	0.253	0.323	0.351	-$7.00	0.0081632653
